"Landgrabbed","Landgrabber","Base","Sector","Hectares","Production","Projected investment","Year","Status of deal","Summary"
"Australia","JBS","Brazil","AB",1876,"Livestock","US$40 million",1999,"Done","In 2007, Brazilian meat giant JBS acquired US-based Swift Food & Co., giving it control over ten meat plants and five feedlots in Australia. In 2010, the Australian Competition and Consumer Commission approved JBS' A$38-million purchase of a 53,000 cattle capacity feedlot, which included a feed mill, abattoir and around 2,000 ha of land."
"Australia","Hassad Food","Qatar","Agribusiness",750000,"Sheep, wheat","US$400 million",1999,"Don","Hassad Food is a US$1-billion company established by Qatar's sovereign wealth fund. It has been leading the country's quest to secure farmland overseas for the export of food to Qatar. So far, Hassad Food has acquired 13 large farms in Australia for sheep and wheat production, which, according to Stock & Land, amount to 750,000 ha. It has also acquired 100,000 ha of land in Sudan. Hassad Food intends to double its investments in Australia, from US$200 to US$400 million, and negotiations are also under way for it to establish a company with US$100 million capital in Turkey for the production of sheep and cereals, a forage company in Brazil, and rice farms in Vietnam, Pakistan and India."
"Australia","Wilmar International","Singapore","AB",2500,"Sugar cane","US$1,876 million",1999,"Done","Wilmar, one of the world's largest agricultural commodity producers and traders, bought Sucrogen Ltd, wich owns 2,500 hectares of prime agricultural land in Queensland's Burdekin region in 2011."
"Colombia","China","China","Government",4e+05,"Cereals","0",2000,"Proposed","In 2010, Portafolio reported that the Chinese Ambassador, accompanied by Chinese business representatives, made a request to the Government of Colombia on behalf of the Chinese government for 400,000 ha in Orinoquía to produce cereals for export to China using Chinese labour. Lands were not identified, however, and later reports indicate that the project has yet to move beyond the initial proposal."
"Ethiopia","BHO Agro","India","Agribusiness",27000,"Cereal, oilseeds, pulses","US$8/ha/yr (lease)",2000,"Done","In May 2010, BHO Bio Products signed an agreement with the Ethiopian government giving it a 25-year renewable lease for 25,000 ha in Gambela on which the company can grow cereals, pulses and edible oils."
"Angola","AfriAgro","Portugal","Finance, real estate",5000,"Oil palm","US$30-35 million",2012,"Done","AfriAgro is a subsidiary of the Portugal-based Atlantica Group. The company acquired a 50-year lease on 5,000 ha of land near the city of Ambriz in Bengo Province, Mozambique. It intends to expand to 20,000 ha."
"Australia","Southern Agricultural Resources","UK","Finance",1e+05,"Cotton, wheat","US$400 million",2012,"In process","The UK-based Southern Agricultural Resources fund was launched in 2010 to acquire wheat and cotton farms in Australia. In December 2011, the Australian Financial Review reported that the fund had already identified 24 properties to be purchased covering more than 100,000 ha. The fund stated that it planned to raise £10 million by October 2011 to purchase its first farm, and £100 million by the second half of 2012 to acquire more farms. The fund's eventual target is US$400 million. The farms will be managed by Australian company Customised Farm Management, which manages farms for US pension-fund manager TIAA-CREF. The fund’s chairman is David Montgomery, former chair of the Australian Cotton Industry Council, and its non-executive director is Derek Shaw, a board member and shareholder of MP Evans, which owns large areas of oil-palm plantations in Indonesia and pastoral lands in Australia."
"China","Temasek","Singapore","Finance",145000,"Barley, flowers, fruits, ginseng, maize, oats, pork, rice, rye, soybeans, vegetables, wheat","US$18,400 million",2012,"Done","Singbridge, a unit of Singapore state investor Temasek, signed a series of agreements with China's Jilin city to construct the China Jilin (Singapore) Modern Agricultural Cooperation Food Zone. The US$16-billion project in north-east China will cover an area of 145,000 ha and will produce both maize and soybeans for the domestic market, and rice, pork, beef and dairy products for export to Singapore, Japan and South Korea. Al Futtaim Group and other UAE companies have been invited to join Singapore's Temasek in the project. The project includes a joint venture with Taiwan's DaChan Group, one of the largest meat producers in China, to build a massive integrated pig farm capable of processing 1 million pigs a year, mainly for export to Singapore."
"Colombia","Grupo Poligrow","Spain","Finance",60000,"Oil palm","US$7 million",2012,"Done","In 2008 Spain's Grupo Poligrow, through its subsidiary Poligrow Colombia Ltda, established a 2,500-ha oil-palm plantation on lands it acquired in Meta, Colombia. Colombian Senator Wilson Arias reports that the company has acquired a total of over 60,000 ha in Meta for around US$7 million."
"Colombia","Merhav Group","Israel","Construction, finance",10000,"Sugar cane","US$300 million",2012,"Done","Israeli tycoon Yosef Maiman is the sole owner of the Merhav Group, which also controls 61.5% of Ampal-American Israel Corporation, a holding and investment company incorporated in New York and traded on Nasdaq and the Tel Aviv Stock Exchange. A joint venture between these companies, Merhav-Ampal Group, established a large-scale sugar-cane and ethanol project in Colombia in 2010 on 10,000 ha of lands that the company purchased and leased in Piviajay, Magdalena."
